,id,label,name,_start,_end,_type,rating
0,0,:genre,pop,,,,
1,1,:genre,country,,,,
2,2,:genre,blues,,,,
3,3,:genre,jazz,,,,
4,4,:genre,reggae,,,,
5,5,:genre,rock,,,,
6,6,:genre,hip hop,,,,
7,7,:track,don't blame me,,,,
8,8,:track,you and i,,,,
9,9,:track,goddamn lonely love,,,,
10,10,:track,all la glory,,,,
11,11,:track,friday on my mind,,,,
12,12,:track,heartworm,,,,
13,13,:track,on trial,,,,
14,14,:track,hold me tight,,,,
15,15,:track,i can give,,,,
16,16,:track,are you in?,,,,
17,17,:track,80 proof bottle of tear stopper,,,,
18,18,:track,stacks o' money,,,,
19,19,:track,between us,,,,
20,20,:track,good ole bible,,,,
21,21,:track,sweater weather,,,,
22,22,:track,if heartaches were nickels,,,,
23,23,:track,sunshine and rain,,,,
24,24,:track,all i really want to do,,,,
25,25,:track,all the love,,,,
26,26,:track,easy love,,,,
27,27,:track,lose the right,,,,
28,28,:track,less than whole,,,,
29,29,:track,keep passing the open windows,,,,
30,30,:track,black cat,,,,
31,31,:track,boss guitar,,,,
32,32,:track,i write the songs,,,,
33,33,:track,full nelson,,,,
34,34,:track,i hear them all,,,,
35,35,:track,"gone, gone, gone",,,,
36,36,:track,temptation,,,,
37,37,:track,how sweet it is (to be loved by you),,,,
38,38,:track,eli's comin',,,,
39,39,:track,don't turn away,,,,
40,40,:track,look away,,,,
41,41,:track,mr. man in the moon,,,,
42,42,:track,something 'bout you,,,,
43,43,:track,nightmares of the bottom,,,,
44,44,:track,i know you don't care about me,,,,
45,45,:track,bust your knee caps,,,,
46,46,:track,i am the walrus,,,,
47,47,:track,you can't stop the rain,,,,
48,48,:track,stranger in my house,,,,
49,49,:track,just a memory,,,,
50,50,:track,you and me against the world,,,,
51,51,:track,follow me,,,,
52,52,:track,voices inside (everything is everything),,,,
53,53,:track,christopher columbus,,,,
54,54,:track,you are a winner,,,,
55,55,:track,waist,,,,
56,56,:track,hold on,,,,
57,57,:track,earth a.d.,,,,
58,58,:track,road to nowhere,,,,
59,59,:track,punks in the beerlight,,,,
60,60,:track,from coast to coast,,,,
61,61,:track,too weak to fight,,,,
62,62,:track,fuck you,,,,
63,63,:track,when?,,,,
64,64,:track,'tis so sweet to trust in jesus,,,,
65,65,:track,traveling riverside blues,,,,
66,66,:track,don't let me cross over,,,,
67,67,:track,the unknown,,,,
68,68,:track,"right place, right time",,,,
69,69,:track,just wait and see,,,,
70,70,:track,johnny b. goode,,,,
71,71,:track,don't say goodbye,,,,
72,72,:track,"uh-oh, love comes to town",,,,
73,73,:track,wind-up toy,,,,
74,74,:track,cast your fate to the wind,,,,
75,75,:track,en kanmani,,,,
76,76,:track,feel like makin' love,,,,
77,77,:track,everything is good about you,,,,
78,78,:track,give that love to me,,,,
79,79,:track,"monkey see, monkey do",,,,
80,80,:track,lonely boy,,,,
81,81,:track,drivin' my life away,,,,
82,82,:track,down the dolce vita,,,,
83,83,:track,pussy liquor,,,,
84,84,:track,1994,,,,
85,85,:track,out of control,,,,
86,86,:track,suck,,,,
87,87,:track,to hell with the devil,,,,
88,88,:track,play crack the sky,,,,
89,89,:track,dream baby (how long must i dream),,,,
90,90,:track,san ber'dino,,,,
91,91,:track,maggot brain,,,,
92,92,:track,high speed dirt,,,,
93,93,:track,the sweetest sounds,,,,
94,94,:track,cold on the shoulder,,,,
95,95,:track,church,,,,
96,96,:track,a maiden's prayer,,,,
97,97,:track,can't you see,,,,
98,98,:track,what a price,,,,
99,99,:track,this time,,,,
100,100,:track,illustrated man,,,,
101,101,:track,say you will,,,,
102,102,:track,one mint julep,,,,
103,103,:track,sweet child o' mine,,,,
104,104,:track,crawl,,,,
105,105,:track,once upon a time,,,,
106,106,:track,wang dang doodle,,,,
107,107,:track,la giostra (the merry-go-round),,,,
108,108,:track,good luck & true love,,,,
109,109,:track,passing complexion,,,,
110,110,:track,euro-trash girl,,,,
111,111,:track,tell me what you dream,,,,
112,112,:track,feiticeira,,,,
113,113,:track,possessed,,,,
114,114,:track,self-inflicted wounds,,,,
115,115,:track,omen,,,,
116,116,:track,you'll always find your way back home,,,,
117,117,:track,same old song,,,,
118,118,:track,so into you,,,,
119,119,:track,it's up to you,,,,
120,120,:track,after you've gone,,,,
121,121,:track,people help the people,,,,
122,122,:track,big jack,,,,
123,123,:track,take me as i am,,,,
124,124,:track,the pain of loving you,,,,
125,125,:track,seven devils,,,,
126,126,:track,when u love somebody,,,,
127,127,:track,blind,,,,
128,128,:track,proclamation,,,,
129,129,:track,in my ears,,,,
130,130,:track,winter wonderland,,,,
131,131,:track,long tall sally,,,,
132,132,:track,good times,,,,
133,133,:track,king of anything,,,,
134,134,:track,my ding-a-ling,,,,
135,135,:track,she's pulling me back again,,,,
136,136,:track,i still can't believe you're gone,,,,
137,137,:track,love hurts,,,,
138,138,:track,split (only u),,,,
139,139,:track,1000 umbrellas,,,,
140,140,:track,heartbreak avenue,,,,
141,141,:track,give blood,,,,
142,142,:track,look what the cat dragged in,,,,
143,143,:track,the log train,,,,
144,144,:track,i'll be home for christmas,,,,
145,145,:track,ill na na,,,,
146,146,:track,red river valley,,,,
147,147,:track,reach out and touch (somebody's hand),,,,
148,148,:track,how junior got his head put out,,,,
149,149,:track,goodbye my lover,,,,
150,150,:track,send it up,,,,
151,151,:track,that's where i belong,,,,
152,152,:track,big dreams in a small town,,,,
153,153,:track,set the controls for the heart of the sun,,,,
154,154,:track,dyslexic heart,,,,
155,155,:track,everytime you touch her,,,,
156,156,:track,wastin' my time,,,,
157,157,:track,mock song,,,,
158,158,:track,someone like you,,,,
159,159,:track,man overboard,,,,
160,160,:track,thin line between love and hate,,,,
161,161,:track,goodbye to love,,,,
162,162,:track,old records,,,,
163,163,:track,fantastic voyage (lil stayne mix),,,,
164,164,:track,we could,,,,
165,165,:track,since you been gone,,,,
166,166,:track,starchild,,,,
167,167,:track,heading home,,,,
168,168,:track,why me lord,,,,
169,169,:track,the shadow of your smile,,,,
170,170,:track,run for cover,,,,
171,171,:track,ain't got time to waste,,,,
172,172,:track,the hero's return,,,,
173,173,:track,perfect places,,,,
174,174,:track,walk in the shadows,,,,
175,175,:track,fall for you again,,,,
176,176,:track,it's my life,,,,
177,177,:track,you broke up with me,,,,
178,178,:track,son of a rotten gambler,,,,
179,179,:track,one on one,,,,
180,180,:track,it's no other than..,,,,
181,181,:track,sing ye,,,,
182,182,:track,aren't you that girl,,,,
183,183,:track,break it up,,,,
184,184,:track,not today,,,,
185,185,:track,can i touch you there,,,,
186,186,:track,i wonder,,,,
187,187,:track,clap your hands,,,,
188,188,:track,pleasure over pain,,,,
189,189,:track,steamers a bubble,,,,
190,190,:track,freedom rider,,,,
191,191,:track,baltimore,,,,
192,192,:track,when i fall,,,,
193,193,:track,"the morning, you & love",,,,
194,194,:track,nothin over me,,,,
195,195,:track,going going gone,,,,
196,196,:track,sometimes,,,,
197,197,:track,i'm a gun,,,,
198,198,:track,where do i go to throw a picture away,,,,
199,199,:track,i'll be there for you,,,,
200,200,:track,black metal,,,,
201,201,:track,life,,,,
202,202,:track,better living through chemistry,,,,
203,203,:track,in the name of love,,,,
204,204,:track,i'm not a vampire,,,,
205,205,:track,"it's you, baby",,,,
206,206,:track,they,,,,
207,207,:track,your grace is enough,,,,
208,208,:track,nothing breaks like a heart (feat. miley cyrus),,,,
209,209,:track,seven lonely nights,,,,
210,210,:track,always late (with your kisses),,,,
211,211,:track,cold and ugly,,,,
212,212,:track,weak in the presence of beauty,,,,
213,213,:track,theme from rocky xiii,,,,
214,214,:track,dreams of the everyday housewife,,,,
